7336.19,0.4232,0.2988,0.0111,0.5599,0.9992,-32.21,1817.4439,0.3015,4.9475,5.4248,1833.6059,343.3352,4.871,4.9177,4.1594,
131.9285,-1538.1742,3.0378,4.6015,5.4897,-1596.2942,61.585,1.4906,2.5516,6.0692,75.3575,1891.84,0.0477,4.2812,0.3846,1584.61,
-12.1586,4.8381,6.1247,2.7048,-298.407,-1997.3165,3.0709,3.008,4.668,-1768.0156,138.2709,1.6121,3.9273,4.7798,-65.1233,1640.9008,
0.2274,6.0039,1.7768,1875.6076,94.5457,4.7436,5.7092,4.7021,36.6057,-1727.4125,2.9097,3.366,4.804,-1534.2871,18.7962,1.5125,
5.0116,5.8843,-53.2434,1629.5306,0.0037,2.6216,5.0942,1744.1475,-52.2093,4.9106,4.9223,5.2142,-288.8201,-1730.4685,2.8643,8.2221,
3.3652,-1776.7629,51.3654,1.4456,4.3598,6.8551,-23.5047,1507.0445,-0.0722,8.6889,2.7958,1642.0653,-22.3006,4.5939,4.736,4.5117,
-36.5976,-1886.513,3.1018,5.8803,6.8485,-1688.0168,195.3338,1.3841,5.8553,3.4637,-138.6834,1656.7413,-0.0142,5.0224,8.7025,1978.6997,
57.5633,4.8731,7.229,6.4445,177.7044,-1876.0855,3.2039,2.8438,4.868,-1771.5051,225.5316,1.4637,4.7935,6.731,-184.5214,1998.208,
-0.2289,7.7253,4.6018,1656.9217,-338.409,4.4899,5.8459,4.0605,30.2743,-1959.2965,3.2617,4.6962,3.2148,-1815.2368,465.3759,1.4832,
6.0196,5.3795,307.159,1497.0266,0.1075,5.5287,7.341,1772.7674,393.0212,5.164,5.7889,5.4651,77.988,-1958.0837,2.903,2.8489,
3.9502,-1972.3583,165.1514,1.4006,5.6967,6.6851,2.5457,1798.0029,-0.1055,5.3044,6.0881,1921.3031,-194.8663,4.6315,5.321,1.4705,
121.1246,-1873.5107,3.1974,6.1155,3.7076,-1824.379,240.8907,1.7182,4.2943,2.8089,169.915,1827.2469,0.1227,3.9997,1.5606,1785.259,
5.5193,4.8035,5.8451,4.9566,-7.8948,-1551.4819,3.1235,3.4307,3.5915,-1829.5087,-63.0779,1.5282,4.9873,4.7497,192.6396,1621.2031,
-0.1067,2.7244,4.6284,1822.7694,88.5252,5.0714,4.7334,3.5694,-116.9718,-1781.5346,3.1697,7.1442,5.0947,-1945.9343,-37.1807,1.6555,
3.0322,6.9029,72.404,1777.9408,-0.2976,9.4056,5.8202,1764.8639,-83.3673,4.658,3.0979,4.9276,115.5918,-1758.6724,3.0194,1.0397,
4.1542,-1459.3289,27.1461,1.6789,4.9224,7.0319,-246.0661,1714.292,-0.0185,6.8075,2.4907,1643.6768,323.1895,4.8544,3.2265,5.3597,
-192.6184,-1780.2646,3.2049,4.6423,4.2565,-1948.1339,-1.9193,1.2476,5.6067,5.6389,15.3874,1958.5618,0.1679,4.2974,4.0413,1652.869,
154.0286,4.803,5.1019,5.7608,81.1921,-1690.4785,3.1735,2.9763,4.1106,-1680.6676,213.7663,1.6793,3.4055,5.4063,53.019,1927.3592,
0.1459,5.7518,6.3386,1650.8318,6.2431,4.8424,4.9928,4.7395,128.7386,-1954.5185,3.3241,6.2456,4.3859,-1910.6587,-215.8815,1.4355,
5.5637,0.2529,-11.2281,1951.0157,-0.0741,5.8173,5.1994,1586.7757,350.5221,4.6602,1.7369,2.8311,-277.0572,-1993.1827,3.1434,3.2991,
4.8119,-1956.9254,-155.6871,1.3418,7.5996,4.9254,-173.7034,1644.5602,-0.0694,4.8793,3.1495,1890.2508,29.3279,4.7707,4.8421,2.9285,
89.2572,-1600.1992,3.3351,6.8517,4.5482,-1880.3885,144.1047,1.6694,3.2967,5.118,-67.2899,1613.1564,0.016,6.265,2.2785,1876.1493,
